,ace,berger_parker_d,brillouin_d,chao1,count_range,dominance,doubles,enspie,fisher_alpha,gini_index,goods_coverage,heip_e,hill,inv_simpson,kempton_taylor_q,margalef,max_count,mcintosh_d,mcintosh_e,mean_count,median_count,menhinick,min_count,num_doubletons,num_singletons,observed_features,percent_singletons,pielou_e,renyi,robbins,shannon,simpson_d,simpson_e,singles,std_count,strong,total_count,tsallis,unique_kmers,file_size
ERR9581643,524799.0,0.0003908035414437,12.67064112272302,524799.0,2437773.0,5.715581037592322e-06,0.0,174960.3397139914,44264.09234254722,0.5039831252523406,1.0,0.6067264938533297,174960.3397139914,174960.3397139914,237275.4792442548,23268.50022236354,2438040.0,0.9976219024843904,0.0104958910832019,11887.467352262483,7210.0,6.644339740200298,267.0,0.0,0.0,524799.0,0.0,0.962061753572765,12.072314597015382,0.0,12.67109467004105,5.715581037592322e-06,0.3333854289242002,0.0,16809.447192649382,0.3707087996551517,6238530979.0,0.9999942844189624,524799.0,3295915885
SRR21856512,524799.0,0.007293302479997,12.617624206774828,524799.0,57704925.0,5.859929235991343e-05,0.0,17065.05249002084,43316.81383017406,0.5198560570764932,1.0,0.5753459261878124,17065.05249002084,17065.05249002084,207175.62269729484,23025.88335499635,57705130.0,0.9923561388954334,0.0224904104163511,15076.384301418257,9066.0,5.899944139938991,205.0,0.0,0.0,524799.0,0.0,0.9580296082722352,9.744787937223617,0.0,12.617988209217057,5.859929235991343e-05,0.0325173113706787,0.0,82235.90682783426,0.381856722833103,7912071405.0,0.99994140070764,524799.0,4179152943
SRR21856491,524799.0,0.0029025355922490726,12.185072626503713,524799.0,30353964.0,3.2928717842611064e-05,0.0,30368.628526008397,42257.47124459698,0.5936864218326834,1.0,0.3732814766965072,30368.628526008397,30368.628526008397,235908.7893899395,22747.465259028446,30354151.0,0.9942713676732392,.,19927.257713905707,9972.0,5.131835547095269,187.0,0.0,0.0,524799.0,0.0,0.9251813470447364,10.321165398179419,0.0,12.185351295615446,3.2928717842611064e-05,0.057867161572351306,0.0,80405.8260513105,0.4401448566380735,10457804921.0,0.9999670712821573,524799.0,5408817563
SRR21856508,524799.0,0.000536784652111946,12.173754957587574,524799.0,4337740.0,1.9258989271440683e-05,0.0,51923.80482203749,43234.57541274041,0.6128940760412752,1.0,0.36910727779728014,51923.80482203749,51923.80482203749,249090.5567806819,23004.540886647785,4337839.0,0.9956225688687071,.,15398.568181341809,7199.0,5.837895668332028,99.0,0.0,0.0,524799.0,0.0,0.9243275337527286,10.857532631089663,0.0,12.174105916601683,1.9258989271440683e-05,0.09894036540092013,0.0,46469.75178390963,0.4634249696612245,8081153183.0,0.9999807410107285,524799.0,4226492791
SRR21856496,524799.0,0.0005310306544795455,12.474020117211428,524799.0,4998990.0,1.2441871748399519e-05,0.0,80373.75888628949,42650.38745577768,0.5269776153331022,1.0,0.49835540014450896,80373.75888628949,80373.75888628949,252764.73782909004,22851.623051715505,4999096.0,0.9964829665685777,.,17938.200995047628,10590.0,5.408876388838114,106.0,0.0,0.0,524799.0,0.0,0.9471223131830069,11.294443019881532,0.0,12.47433072760901,1.2441871748399519e-05,0.15315150921836643,0.0,42181.4111254841,0.3815941077415165,9413949944.0,0.9999875581282516,524799.0,4930425317
SRR21856489,524799.0,0.0113183048299091,11.472910275259652,524799.0,102466422.0,0.0001821169416267,0.0,5490.977341632201,42798.35327326231,0.7168785039007981,1.0,0.1831295953644837,5490.977341632201,5490.977341632201,225931.29642643203,22890.57323017281,102466543.0,0.9865152971903096,0.0427602143884829,17250.73878761202,5777.0,5.515598564128817,121.0,0.0,0.0,524799.0,0.0,0.8711121197171421,8.61086154081474,0.0,11.47321790536307,0.0001821169416267,0.0104630102984803,0.0,167762.69310243413,0.5654053653517033,9053170465.0,0.9998178830583732,524799.0,4393417282
SRR21856514,524799.0,0.04268757276529524,12.423035825050718,524799.0,156542944.0,0.0018277367436148806,0.0,547.124745121778,46547.54466971461,0.462447612417594,1.0,0.47378622335794734,547.124745121778,547.124745121778,257573.40011467048,23829.878300823188,156543051.0,0.9572637696940123,.,6987.78177549881,4757.0,8.666162585147893,107.0,0.0,0.0,524799.0,0.0,0.9432837325692122,6.304676829660877,0.0,12.423773662872417,0.0018277367436148806,0.0010425415161267038,0.0,216304.7972459667,0.3309956250037585,3667180888.0,0.9981722632563851,524799.0,2013098427
SRR21856497,524799.0,0.0005434330819693034,11.517129604844888,524799.0,4474308.0,5.923710350876796e-05,0.0,16881.31155588972,43162.10098141603,0.7133769700115552,1.0,0.19141461714051952,16881.31155588972,16881.31155588972,231241.66299329454,22985.694865020396,4474480.0,0.9923143714154568,.,15689.297546298678,5350.0,5.78355339838046,172.0,0.0,0.0,524799.0,0.0,0.8744716286664382,9.733962463940184,0.0,11.517465227100262,5.923710350876796e-05,0.03216719459429176,0.0,86059.15463478933,0.5628464140549961,8233727663.0,0.9999407628964913,524799.0,4054590470
SRR21856505,524799.0,0.0006421432879689608,12.079424997454055,524799.0,5388536.0,2.954437383359004e-05,0.0,33847.39191402543,43088.72419904072,0.6091640959117577,1.0,0.33587709391583137,33847.39191402543,33847.39191402543,255167.87881016222,22966.57831455755,5388673.0,0.9945753834200606,.,15990.310019645616,7565.0,5.72885799785013,137.0,0.0,0.0,524799.0,0.0,0.9171645879815716,10.429617227041925,0.0,12.079764400949864,2.954437383359004e-05,0.06449591541528361,0.0,60899.48532358126,0.4588141154619791,8391698708.0,0.9999704556261664,524799.0,4344613778
SRR21856503,524799.0,0.0005956937756833,11.364303277681495,524799.0,4437005.0,5.82034038806671e-05,0.0,17181.125730211133,43553.40878610133,0.7350606322339652,1.0,0.1642915912982573,17181.125730211133,17181.125730211133,230950.81224364045,23087.03321574893,4437067.0,0.9923823829996664,0.1557312641610917,14193.187025889913,4509.0,6.080741433170509,62.0,0.0,0.0,524799.0,0.0,0.8628703820879831,9.751566719015,0.0,11.36466786961236,5.82034038806671e-05,0.0327384879357832,0.0,77147.62674795184,0.5864374037838641,7448570358.0,0.9999417965961194,524799.0,3525793496
