primary_accession,lineage,assembler,assembler_version,wall_clock_seconds,peak_mem_in_gbs,n50,l50,num_contigs,assembly_length,largest_contig,srr_id
ERZ7462993,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1319692,224,1630,80387,525234,704643287,308577,ERR3589553
ERZ7462166,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1475739,217,1733,58151,427155,593840812,374570,ERR3589554
ERZ7463011,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1428781,212,1609,63728,444252,595115122,207441,ERR3589555
ERZ7462938,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1515319,308,1356,110367,641501,786367040,306039,ERR3589556
ERZ7462311,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1636215,277,1816,89203,641959,904876786,272380,ERR3589557
ERZ7463040,root:Environmental:Aquatic:Marine,metaspades,3.15.3,2184640,244,1653,95278,650856,884351686,719435,ERR3589558
ERZ7462186,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1249446,182,2217,50095,453470,688114305,390581,ERR3589559
ERZ7463206,root:Environmental:Aquatic:Marine,metaspades,3.15.3,2028673,357,1274,162658,867546,1020897107,207835,ERR3589560
ERZ7462832,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1805535,275,1927,66434,512621,745532978,473151,ERR3589561
ERZ7463217,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1552456,302,1311,138331,749406,892495740,220063,ERR3589562
ERZ7462600,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1959325,274,1328,147907,829723,1001673476,541124,ERR3589563
ERZ7463296,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1459987,214,1303,120748,614292,731701214,326994,ERR3589564
ERZ7463297,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1344932,228,1390,103708,609018,761135405,468960,ERR3589565
ERZ7462497,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1326894,191,1935,59772,428987,628842807,346238,ERR3589566
ERZ7462743,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1781484,297,1284,166359,884676,1045344146,340856,ERR3589567
ERZ7462167,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1238709,139,1981,44061,408169,600778688,339895,ERR3589568
ERZ7463277,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1403382,204,1588,56699,391578,518905602,354378,ERR3589569
ERZ7463457,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1669580,293,1182,182675,904393,1018083126,460150,ERR3589570
ERZ7463204,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1580405,271,1528,106113,677591,884995735,224751,ERR3589571
ERZ7462236,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1613351,191,1808,72020,519183,731461866,313803,ERR3589572
ERZ7463532,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1742974,310,1191,143571,727598,823238998,256355,ERR3589573
ERZ7462372,root:Environmental:Aquatic:Marine,metaspades,3.15.3,2103845,328,1247,149412,796815,927520834,259840,ERR3589574
ERZ8591300,root:Environmental:Terrestrial:Soil,metaspades,3.15.3,858966,181,660,59555,165029,118415922,24931,ERR8263081
ERZ8586949,root:Environmental:Terrestrial:Soil,metaspades,3.15.3,798368,194,650,46662,125504,87954815,24931,ERR8263082
ERZ8587993,root:Environmental:Terrestrial:Soil,metaspades,3.15.3,1080151,237,626,22013,55641,36975993,17640,ERR8263083
ERZ8587958,root:Environmental:Terrestrial:Soil,metaspades,3.15.3,1616300,234,736,174376,566334,459217133,119465,ERR8263090
ERZ8589774,root:Environmental:Terrestrial:Soil,metaspades,3.15.3,1460695,232,736,177442,575404,466003051,61070,ERR8263091
ERZ8590151,root:Environmental:Terrestrial:Soil,metaspades,3.15.3,1485867,225,737,162912,530014,430216845,93258,ERR8263092
ERZ8587031,root:Environmental:Terrestrial:Soil,metaspades,3.15.3,244176,48,703,39361,112960,84950181,34251,ERR8263094
ERZ8587289,root:Environmental:Terrestrial:Soil,metaspades,3.15.3,248421,43,703,33059,93941,70347959,33824,ERR8263095
ERZ8868625,root:Environmental:Aquatic:Marine,metaspades,3.15.3,537234,91,3416,31185,397846,749931360,1512047,ERR7163067
ERZ8868305,root:Environmental:Aquatic:Marine,metaspades,3.15.3,441449,72,4472,15227,237391,480880050,1555923,ERR7163068
ERZ8868457,root:Environmental:Aquatic:Marine,metaspades,3.15.3,428257,75,2003,36221,268439,407227633,1280266,ERR7163069
ERZ8868561,root:Environmental:Aquatic:Marine,metaspades,3.15.3,660788,138,2100,51851,374584,576346275,907234,ERR7163070
ERZ8868744,root:Environmental:Aquatic:Marine,metaspades,3.15.3,1036535,174,1825,71910,501308,724237212,1740480,ERR7163071
ERZ8868578,root:Environmental:Aquatic:Marine,metaspades,3.15.3,807960,154,1799,66688,436361,623074420,472534,ERR7163072
ERZ8868456,root:Environmental:Aquatic:Marine,metaspades,3.15.3,488197,81,2492,28022,264302,431593543,476461,ERR7163073
